轮次,窗口数,管线,帧数,总耗时毫秒,平均帧微秒,P50帧微秒,P95帧微秒,P99帧微秒,最差帧微秒,GDI对象变化,USER对象变化,句柄变化,工作集变化MiB,私有字节变化MiB
1,1,layered-recreate,480,168.659,351.318,333.200,477.600,676.500,998.100,0,0,0,1.199,0.004
1,1,layered-persistent,480,89.549,186.532,179.700,247.200,400.400,638.000,0,0,0,1.199,0.004
1,1,region-hole,480,114.406,238.300,223.700,368.000,531.600,762.700,0,0,0,-1.195,0.000
1,2,layered-recreate,480,348.331,725.638,686.200,961.400,1283.100,1965.300,0,0,0,1.207,0.000
1,2,layered-persistent,480,183.603,382.464,369.300,495.600,790.600,1607.600,0,0,0,2.402,0.008
1,2,region-hole,480,205.964,429.047,390.900,621.800,822.900,901.000,0,0,0,-2.383,-0.004
1,3,layered-recreate,480,518.955,1081.102,1046.700,1375.300,1682.900,2354.400,0,0,0,1.203,-0.004
1,3,layered-persistent,480,270.631,563.749,557.700,697.700,889.300,1862.100,0,0,0,3.598,0.008
1,3,region-hole,480,305.155,635.694,582.800,961.300,1224.300,1748.900,0,0,0,-3.586,-0.008
2,1,layered-recreate,480,169.829,353.756,338.900,452.200,628.600,773.500,0,0,0,1.207,0.004
2,1,layered-persistent,480,90.816,189.157,179.200,256.200,419.000,613.800,0,0,0,1.199,0.000
2,1,region-hole,480,123.407,257.052,242.600,397.800,568.800,1081.200,0,0,0,0.031,0.000
2,2,layered-recreate,480,357.761,745.272,709.400,972.600,1305.800,2202.200,0,0,0,2.406,0.008
2,2,layered-persistent,480,191.694,399.306,383.600,573.000,877.300,1284.100,0,0,0,2.402,0.008
2,2,region-hole,480,239.370,498.638,438.000,846.300,1319.900,1908.000,0,0,0,-1.184,0.000
2,3,layered-recreate,480,518.387,1079.901,1048.900,1345.000,1857.000,2383.600,0,0,0,1.203,0.000
2,3,layered-persistent,480,277.861,578.814,563.600,774.000,1022.500,1846.800,0,0,0,3.598,0.008
2,3,region-hole,480,291.746,607.758,553.400,864.600,1220.300,1595.400,0,0,0,-4.789,-0.012
3,1,layered-recreate,480,175.782,366.155,353.500,456.700,670.300,928.600,0,0,0,1.207,0.004
3,1,layered-persistent,480,89.435,186.288,177.900,248.200,443.500,634.000,0,0,0,1.203,0.004
3,1,region-hole,480,141.484,294.712,254.300,574.000,1148.900,1508.000,0,0,0,0.004,0.000
3,2,layered-recreate,480,335.362,698.610,678.300,857.900,1049.200,1705.200,0,0,0,2.406,0.004
3,2,layered-persistent,480,179.714,374.369,366.300,483.600,712.600,1244.400,0,0,0,2.402,0.008
3,2,region-hole,480,211.409,440.389,401.800,662.100,927.600,2138.700,0,0,0,0.031,0.000
3,3,layered-recreate,480,524.196,1092.024,1058.000,1332.100,1651.200,2227.100,0,0,0,3.602,0.004
3,3,layered-persistent,480,268.118,558.511,552.000,677.500,933.100,1944.300,0,0,0,3.598,0.012
3,3,region-hole,480,314.961,656.123,602.500,960.000,1234.400,1972.200,0,0,0,-1.184,0.000
