轮次,场景,实现,动画次数,帧数,总耗时毫秒,平均帧微秒,P50帧微秒,P95帧微秒,P99帧微秒,最差帧微秒,表面MiB,表面分配次数,校验和
1,96dpi-radius120,legacy-full-raster,10,240,121.632,503.370,365.700,1225.900,1412.500,1507.700,1.266,240,5440438993562610544
1,96dpi-radius120,persistent-circumference,10,240,18.660,77.718,69.200,118.500,127.300,128.300,1.266,1,5440438993562610544
1,125dpi-radius150,legacy-full-raster,10,240,201.031,825.531,578.000,1940.800,2255.600,2731.100,1.989,240,5440438993562610544
1,125dpi-radius150,persistent-circumference,10,240,24.475,101.945,89.500,157.100,171.600,249.000,1.989,1,5440438993562610544
1,150dpi-radius180,legacy-full-raster,10,240,296.719,1214.047,825.300,2768.000,3144.900,3335.300,2.848,240,5440438993562610544
1,150dpi-radius180,persistent-circumference,10,240,31.280,130.293,116.700,197.900,212.300,288.100,2.848,1,5440438993562610544
1,200dpi-radius240,legacy-full-raster,10,240,559.899,2268.459,1647.800,5012.700,5590.000,5744.700,5.062,240,5440438993562610544
1,200dpi-radius240,persistent-circumference,10,240,51.988,216.580,188.300,330.700,354.800,475.900,5.062,1,5440438993562610544
1,maximum-radius512,legacy-full-raster,10,240,1973.872,8000.626,7081.400,11590.700,13627.800,15782.800,10.160,240,5440438993562610544
1,maximum-radius512,persistent-circumference,10,240,116.427,485.067,471.300,591.100,635.800,753.100,10.160,1,5440438993562610544
2,96dpi-radius120,legacy-full-raster,10,240,124.049,512.789,365.700,1256.200,1498.200,2127.600,1.266,240,5440438993562610544
2,96dpi-radius120,persistent-circumference,10,240,18.691,77.847,69.000,118.900,127.500,134.000,1.266,1,5440438993562610544
2,125dpi-radius150,legacy-full-raster,10,240,200.195,822.785,578.100,1922.400,2210.000,2413.200,1.989,240,5440438993562610544
2,125dpi-radius150,persistent-circumference,10,240,24.705,102.901,88.900,158.700,168.900,332.300,1.989,1,5440438993562610544
2,150dpi-radius180,legacy-full-raster,10,240,297.275,1216.138,825.200,2781.400,3119.100,3238.300,2.848,240,5440438993562610544
2,150dpi-radius180,persistent-circumference,10,240,31.163,129.803,113.400,198.000,212.100,213.100,2.848,1,5440438993562610544
2,200dpi-radius240,legacy-full-raster,10,240,562.269,2279.117,1713.800,4990.100,5658.600,5688.700,5.062,240,5440438993562610544
2,200dpi-radius240,persistent-circumference,10,240,58.339,243.027,203.800,428.800,572.300,1586.800,5.062,1,5440438993562610544
2,maximum-radius512,legacy-full-raster,10,240,1959.496,7945.261,7081.500,11469.700,11677.300,12222.200,10.160,240,5440438993562610544
2,maximum-radius512,persistent-circumference,10,240,121.117,504.602,484.500,653.400,816.400,1523.100,10.160,1,5440438993562610544
3,96dpi-radius120,legacy-full-raster,10,240,124.127,513.546,365.800,1236.000,1457.600,2648.600,1.266,240,5440438993562610544
3,96dpi-radius120,persistent-circumference,10,240,18.675,77.775,67.900,121.900,128.400,132.900,1.266,1,5440438993562610544
3,125dpi-radius150,legacy-full-raster,10,240,203.171,834.732,578.100,1932.200,2232.100,3199.600,1.989,240,5440438993562610544
3,125dpi-radius150,persistent-circumference,10,240,25.626,106.729,95.800,165.900,254.200,430.100,1.989,1,5440438993562610544
3,150dpi-radius180,legacy-full-raster,10,240,297.778,1214.121,828.900,2794.400,3134.200,3268.200,2.848,240,5440438993562610544
3,150dpi-radius180,persistent-circumference,10,240,31.740,132.211,117.000,200.900,217.700,535.600,2.848,1,5440438993562610544
3,200dpi-radius240,legacy-full-raster,10,240,563.906,2285.668,1661.200,5011.200,5695.100,5963.600,5.062,240,5440438993562610544
3,200dpi-radius240,persistent-circumference,10,240,52.084,216.971,188.700,333.500,360.000,417.800,5.062,1,5440438993562610544
3,maximum-radius512,legacy-full-raster,10,240,1957.112,7933.944,7093.000,11408.800,11694.500,13055.100,10.160,240,5440438993562610544
3,maximum-radius512,persistent-circumference,10,240,116.700,486.197,470.600,592.200,697.000,744.700,10.160,1,5440438993562610544
